ActivitySiteID,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime,MaxBookees,Number Booked,Price (INR),BookingEndDateTime,DateOfWeek,Month,Week,OccupancyRate
HXP,20-20-20  2.45pm-3.45pm,08-Apr-18,14:45:00,25,12,499.0,2018-04-08,Sunday,4,14,0.48
HXP,20-20-20  2.45pm-3.45pm,15-Apr-18,14:45:00,25,15,499.0,2018-04-15,Sunday,4,15,0.6
HXP,20-20-20  2.45pm-3.45pm,22-Apr-18,14:45:00,25,14,499.0,2018-04-22,Sunday,4,16,0.56
HXP,20-20-20  2.45pm-3.45pm,29-Apr-18,14:45:00,25,9,499.0,2018-04-29,Sunday,4,17,0.36
HXP,20-20-20  2.45pm-3.45pm,06-May-18,14:45:00,25,7,499.0,2018-05-06,Sunday,5,18,0.28
HXP,20-20-20  2.45pm-3.45pm,13-May-18,14:45:00,25,10,499.0,2018-05-13,Sunday,5,19,0.4
HXP,20-20-20  2.45pm-3.45pm,20-May-18,14:45:00,25,7,499.0,2018-05-20,Sunday,5,20,0.28
HXP,20-20-20  2.45pm-3.45pm,27-May-18,14:45:00,25,3,499.0,2018-05-27,Sunday,5,21,0.12
TSC,20-20-20 7.00-8.00pm,04-Apr-18,19:00:00,24,10,499.0,2018-04-04,Wednesday,4,14,0.42
TSC,20-20-20 7.00-8.00pm,11-Apr-18,19:00:00,24,12,499.0,2018-04-11,Wednesday,4,15,0.5
TSC,20-20-20 7.00-8.00pm,18-Apr-18,19:00:00,24,9,499.0,2018-04-18,Wednesday,4,16,0.38
TSC,20-20-20 7.00-8.00pm,25-Apr-18,19:00:00,24,5,499.0,2018-04-25,Wednesday,4,17,0.21
TSC,20-20-20 7.00-8.00pm,02-May-18,19:00:00,24,6,499.0,2018-05-02,Wednesday,5,18,0.25
TSC,20-20-20 7.00-8.00pm,09-May-18,19:00:00,24,5,499.0,2018-05-09,Wednesday,5,19,0.21
TSC,20-20-20 7.00-8.00pm,16-May-18,19:00:00,24,6,499.0,2018-05-16,Wednesday,5,20,0.25
TSC,20-20-20 7.00-8.00pm,23-May-18,19:00:00,24,6,499.0,2018-05-23,Wednesday,5,21,0.25
TSC,20-20-20 7.00-8.00pm,30-May-18,19:00:00,24,7,499.0,2018-05-30,Wednesday,5,22,0.29
NBL,20-20-20 9.30-10.30am,03-Apr-18,9:30:00,60,42,499.0,2018-04-03,Tuesday,4,14,0.7
NBL,20-20-20 9.30-10.30am,10-Apr-18,9:30:00,60,34,499.0,2018-04-10,Tuesday,4,15,0.57
NBL,20-20-20 9.30-10.30am,17-Apr-18,9:30:00,60,37,499.0,2018-04-17,Tuesday,4,16,0.62
NBL,20-20-20 9.30-10.30am,24-Apr-18,9:30:00,60,33,499.0,2018-04-24,Tuesday,4,17,0.55
NBL,20-20-20 9.30-10.30am,01-May-18,9:30:00,60,34,499.0,2018-05-01,Tuesday,5,18,0.57
NBL,20-20-20 9.30-10.30am,08-May-18,9:30:00,60,28,499.0,2018-05-08,Tuesday,5,19,0.47
NBL,20-20-20 9.30-10.30am,15-May-18,9:30:00,60,31,499.0,2018-05-15,Tuesday,5,20,0.52
NBL,20-20-20 9.30-10.30am,22-May-18,9:30:00,60,31,499.0,2018-05-22,Tuesday,5,21,0.52
NBL,20-20-20 9.30-10.30am,29-May-18,9:30:00,60,30,499.0,2018-05-29,Tuesday,5,22,0.5
SBP,20-20-20 9.30-10.30am,04-Apr-18,9:30:00,35,18,499.0,2018-04-04,Wednesday,4,14,0.51
SBP,20-20-20 9.30-10.30am,11-Apr-18,9:30:00,35,12,499.0,2018-04-11,Wednesday,4,15,0.34
SBP,20-20-20 9.30-10.30am,18-Apr-18,9:30:00,35,14,499.0,2018-04-18,Wednesday,4,16,0.4
SBP,20-20-20 9.30-10.30am,25-Apr-18,9:30:00,35,14,499.0,2018-04-25,Wednesday,4,17,0.4
SBP,20-20-20 9.30-10.30am,02-May-18,9:30:00,35,12,499.0,2018-05-02,Wednesday,5,18,0.34
SBP,20-20-20 9.30-10.30am,09-May-18,9:30:00,35,13,499.0,2018-05-09,Wednesday,5,19,0.37
SBP,20-20-20 9.30-10.30am,16-May-18,9:30:00,35,11,499.0,2018-05-16,Wednesday,5,20,0.31
SBP,20-20-20 9.30-10.30am,23-May-18,9:30:00,35,14,499.0,2018-05-23,Wednesday,5,21,0.4
SBP,20-20-20 9.30-10.30am,30-May-18,9:30:00,35,7,499.0,2018-05-30,Wednesday,5,22,0.2
BRP,20:20:20  10-11 Am,03-Apr-18,10:00:00,35,32,499.0,2018-04-03,Tuesday,4,14,0.91
BRP,20:20:20  10-11 Am,10-Apr-18,10:00:00,35,26,499.0,2018-04-10,Tuesday,4,15,0.74
BRP,20:20:20  10-11 Am,17-Apr-18,10:00:00,35,24,499.0,2018-04-17,Tuesday,4,16,0.69
BRP,20:20:20  10-11 Am,24-Apr-18,10:00:00,35,23,499.0,2018-04-24,Tuesday,4,17,0.66
BRP,20:20:20  10-11 Am,01-May-18,10:00:00,35,22,499.0,2018-05-01,Tuesday,5,18,0.63
BRP,20:20:20  10-11 Am,08-May-18,10:00:00,35,30,499.0,2018-05-08,Tuesday,5,19,0.86
BRP,20:20:20  10-11 Am,15-May-18,10:00:00,35,18,499.0,2018-05-15,Tuesday,5,20,0.51
BRP,20:20:20  10-11 Am,22-May-18,10:00:00,35,24,499.0,2018-05-22,Tuesday,5,21,0.69
BRP,20:20:20  10-11 Am,29-May-18,10:00:00,35,28,499.0,2018-05-29,Tuesday,5,22,0.8
BRP,20:20:20  10.00-11.00am,05-Apr-18,10:00:00,35,25,499.0,2018-04-05,Thursday,4,14,0.71
BRP,20:20:20  10.00-11.00am,12-Apr-18,10:00:00,35,23,499.0,2018-04-12,Thursday,4,15,0.66
BRP,20:20:20  10.00-11.00am,19-Apr-18,10:00:00,35,21,499.0,2018-04-19,Thursday,4,16,0.6
BRP,20:20:20  10.00-11.00am,26-Apr-18,10:00:00,35,29,499.0,2018-04-26,Thursday,4,17,0.83
BRP,20:20:20  10.00-11.00am,03-May-18,10:00:00,35,20,499.0,2018-05-03,Thursday,5,18,0.57
BRP,20:20:20  10.00-11.00am,10-May-18,10:00:00,35,24,499.0,2018-05-10,Thursday,5,19,0.69
BRP,20:20:20  10.00-11.00am,17-May-18,10:00:00,35,29,499.0,2018-05-17,Thursday,5,20,0.83
BRP,20:20:20  10.00-11.00am,31-May-18,10:00:00,35,14,499.0,2018-05-31,Thursday,5,22,0.4
HXP,20:20:20  11am -12noon,07-Apr-18,11:00:00,25,10,499.0,2018-04-07,Saturday,4,14,0.4
HXP,20:20:20  11am -12noon,14-Apr-18,11:00:00,25,10,499.0,2018-04-14,Saturday,4,15,0.4
HXP,20:20:20  11am -12noon,28-Apr-18,11:00:00,25,11,499.0,2018-04-28,Saturday,4,17,0.44
HXP,20:20:20  11am -12noon,05-May-18,11:00:00,25,13,499.0,2018-05-05,Saturday,5,18,0.52
HXP,20:20:20  11am -12noon,12-May-18,11:00:00,25,16,499.0,2018-05-12,Saturday,5,19,0.64
HXP,20:20:20  11am -12noon,19-May-18,11:00:00,25,10,499.0,2018-05-19,Saturday,5,20,0.4
HXP,20:20:20  11am -12noon,26-May-18,11:00:00,25,6,499.0,2018-05-26,Saturday,5,21,0.24
BRP,20:20:20  9.30-10.30am,06-Apr-18,9:30:00,35,26,499.0,2018-04-06,Friday,4,14,0.74
BRP,20:20:20  9.30-10.30am,13-Apr-18,9:30:00,35,20,499.0,2018-04-13,Friday,4,15,0.57
BRP,20:20:20  9.30-10.30am,20-Apr-18,9:30:00,35,30,499.0,2018-04-20,Friday,4,16,0.86
BRP,20:20:20  9.30-10.30am,27-Apr-18,9:30:00,35,27,499.0,2018-04-27,Friday,4,17,0.77
BRP,20:20:20  9.30-10.30am,04-May-18,9:30:00,35,33,499.0,2018-05-04,Friday,5,18,0.94
BRP,20:20:20  9.30-10.30am,11-May-18,9:30:00,35,34,499.0,2018-05-11,Friday,5,19,0.97
BRP,20:20:20  9.30-10.30am,18-May-18,9:30:00,35,32,499.0,2018-05-18,Friday,5,20,0.91
BRP,20:20:20  9.30-10.30am,25-May-18,9:30:00,35,29,499.0,2018-05-25,Friday,5,21,0.83
NBL,20:20:20 9.30-10.30am,05-Apr-18,9:30:00,60,22,499.0,2018-04-05,Thursday,4,14,0.37
NBL,20:20:20 9.30-10.30am,19-Apr-18,9:30:00,60,14,499.0,2018-04-19,Thursday,4,16,0.23
NBL,20:20:20 9.30-10.30am,26-Apr-18,9:30:00,60,14,499.0,2018-04-26,Thursday,4,17,0.23
NBL,20:20:20 9.30-10.30am,03-May-18,9:30:00,60,16,499.0,2018-05-03,Thursday,5,18,0.27
NBL,20:20:20 9.30-10.30am,10-May-18,9:30:00,60,14,499.0,2018-05-10,Thursday,5,19,0.23
NBL,20:20:20 9.30-10.30am,17-May-18,9:30:00,60,14,499.0,2018-05-17,Thursday,5,20,0.23
NBL,20:20:20 9.30-10.30am,24-May-18,9:30:00,60,18,499.0,2018-05-24,Thursday,5,21,0.3
NBL,20:20:20 9.30-10.30am,31-May-18,9:30:00,60,24,499.0,2018-05-31,Thursday,5,22,0.4
SBP,45min Madness 9.15-10am,03-Apr-18,9:15:00,35,11,1499.0,2018-04-03,Tuesday,4,14,0.31
SBP,45min Madness 9.15-10am,10-Apr-18,9:15:00,35,19,1499.0,2018-04-10,Tuesday,4,15,0.54
SBP,45min Madness 9.15-10am,17-Apr-18,9:15:00,35,19,1499.0,2018-04-17,Tuesday,4,16,0.54
SBP,45min Madness 9.15-10am,24-Apr-18,9:15:00,35,21,1499.0,2018-04-24,Tuesday,4,17,0.6
SBP,45min Madness 9.15-10am,01-May-18,9:15:00,35,18,1499.0,2018-05-01,Tuesday,5,18,0.51
SBP,45min Madness 9.15-10am,08-May-18,9:15:00,35,15,1499.0,2018-05-08,Tuesday,5,19,0.43
